[19:22:26] [main/INFO]: ModLauncher running: args [--username, WinchesterPlays, --version, forge-36.2.19, --gameDir, C:\Users\wpwin\Twitch\Minecraft\Instances\MineColonies Official, --assetsDir, C:\Users\wpwin\Twitch\Minecraft\Install\assets, --assetIndex, 1.16, --uuid, a3591065f2d044848bb5a2382d167a19, --accessToken, ????????, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, fmlclient, --fml.forgeVersion, 36.2.19, --fml.mcVersion, 1.16.5, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20210115.111550]
[19:22:26] [main/INFO]: ModLauncher 8.0.9+86+master.3cf110c starting: java version 1.8.0_51 by Oracle Corporation
[19:22:26] [main/WARN]: LEGACY JDK DETECTED, SECURED JAR HANDLING DISABLED
[19:22:26] [main/INFO]: OptiFineTransformationService.onLoad
[19:22:26] [main/INFO]: OptiFine ZIP file URL: file:/C:/Users/wpwin/Twitch/Minecraft/Instances/MineColonies%20Official/mods/OptiFine_1.18.1_HD_U_H5.jar
[19:22:26] [main/INFO]: OptiFine ZIP file: C:\Users\wpwin\Twitch\Minecraft\Instances\MineColonies Official\mods\OptiFine_1.18.1_HD_U_H5.jar
[19:22:26] [main/INFO]: Target.PRE_CLASS is available
[19:22:26] [main/INFO]: Added Lets Encrypt root certificates as additional trust
[19:22:26] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.4 Source=file:/C:/Users/wpwin/Twitch/Minecraft/Install/libraries/org/spongepowered/mixin/0.8.4/mixin-0.8.4.jar Service=ModLauncher Env=CLIENT
[19:22:26] [main/INFO]: OptiFineTransformationService.initialize
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: java.lang.AbstractMethodError: Method optifine/OptiFineTransformationService.beginScanning(Lcpw/mods/modlauncher/api/IEnvironment;)V is abstract
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at optifine.OptiFineTransformationService.beginScanning(OptiFineTransformationService.java)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at cpw.mods.modlauncher.api.ITransformationService.runScan(ITransformationService.java:74)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at cpw.mods.modlauncher.TransformationServiceDecorator.runScan(TransformationServiceDecorator.java:114)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at cpw.mods.modlauncher.TransformationServicesHandler.lambda$runScanningTransformationServices$8(TransformationServicesHandler.java:115)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at cpw.mods.modlauncher.TransformationServicesHandler$$Lambda$186/1621002296.apply(Unknown Source)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at java.util.stream.ReferencePipeline$7$1.accept(ReferencePipeline.java:267)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at java.util.HashMap$ValueSpliterator.forEachRemaining(HashMap.java:1612)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:512)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:502)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at java.util.stream.ReduceOps$ReduceOp.evaluateSequential(ReduceOps.java:708)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at java.util.stream.ReferencePipeline.collect(ReferencePipeline.java:499)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at cpw.mods.modlauncher.TransformationServicesHandler.runScanningTransformationServices(TransformationServicesHandler.java:116)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at cpw.mods.modlauncher.TransformationServicesHandler.initializeTransformationServices(TransformationServicesHandler.java:63)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at cpw.mods.modlauncher.Launcher.run(Launcher.java:76)
[19:22:27] [main/INFO]: [java.lang.ThreadGroup:uncaughtException:1052]: 	at cpw.mods.modlauncher.Launcher.main(Launcher.java:66)
